Time,Dynasan114,Tween80,Water,ParticleSize
2,10,10,80,432.9016666667
2,10,9,81,452.633
2,10,8,82,498.83
2,9,10,81,418.8873333333
2,9,9,82,437.0713333333
2,9,8,83,464.7296666667
2,8,10,82,405.784
2,8,9,83,418.9666666667
2,8,8,84,421.984
2,7,10,83,386.3153333333
2,7,9,84,397.6973333333
2,7,8,85,401.114
4,10,10,80,388.1306666667
4,10,9,81,401.6646666667
4,10,8,82,415.464
4,9,10,81,375.264
4,9,9,82,372.8533333333
4,9,8,83,383.703
4,8,10,82,366.9233333333
4,8,9,83,352.232
4,8,8,84,374.077
4,7,10,83,334.019
4,7,9,84,343.1656666667
4,7,8,85,361.014
6,10,10,80,325.0876666667
6,10,9,81,347.5956666667
6,10,8,82,364.42
6,9,10,81,320.5496666667
6,9,9,82,343.492
6,9,8,83,352.997
6,8,10,82,314.533
6,8,9,83,338.809
6,8,8,84,348.2753333333
6,7,10,83,303.912
6,7,9,84,305.2063333333
6,7,8,85,306.4586666667
8,10,10,80,324.1296666667
8,10,9,81,342.6426666667
8,10,8,82,352.6933333333
8,9,10,81,313.2873333333
8,9,9,82,334.937
8,9,8,83,344.588
8,8,10,82,300.8226666667
8,8,9,83,332.6106666667
8,8,8,84,342.2666666667
8,7,10,83,287.433
8,7,9,84,287.5973333333
8,7,8,85,299.7003333333
10,10,10,80,305.1123333333
10,10,9,81,310.6366666667
10,10,8,82,320.1096666667
10,9,10,81,303.6686666667
10,9,9,82,307.0673333333
10,9,8,83,309.6533333333
10,8,10,82,295.6656666667
10,8,9,83,300.4506666667
10,8,8,84,304.1836666667
10,7,10,83,263.5463333333
10,7,9,84,270.6443333333
10,7,8,85,282.3633333333
